OPEN,HIGH,LOW,CLOSE,UPDOWN
38.0,39.0,37.01,38.8,1.0
40.0,42.68,39.5,42.68,-1.0
43.6,44.67,42.33,43.05,1.0
42.8,45.84,42.3,43.98,-1.0
43.4,44.73,40.19,40.98,1.0
41.0,44.98,40.98,44.3,-1.0
43.5,43.87,41.0,42.68,-1.0
42.0,42.1,40.49,41.39,-1.0
41.51,42.49,39.5,39.56,-1.0
39.65,39.95,35.7,37.0,1.0
36.89,37.8,36.03,37.18,1.0
36.77,37.49,36.51,37.12,1.0
37.0,37.98,36.52,37.3,-1.0
37.41,37.84,36.51,36.57,-1.0
35.9,35.9,32.91,32.91,-1.0
32.05,32.5,31.31,31.92,-1.0
31.92,32.26,30.61,30.79,1.0
30.97,32.55,30.66,32.38,1.0
31.85,32.28,31.36,32.17,-1.0
31.55,31.98,31.21,31.29,1.0
31.08,33.47,30.13,33.05,1.0
32.38,33.86,32.01,33.41,1.0
33.35,33.55,32.55,33.43,-1.0
33.35,34.3,33.0,33.0,-1.0
32.5,32.79,31.9,32.2,1.0
32.0,34.25,31.91,33.62,1.0
33.51,34.15,33.36,33.91,1.0
34.0,36.38,33.5,35.55,1.0
35.06,35.95,35.04,35.48,-1.0
34.99,35.37,32.58,32.8,-1.0
32.85,33.79,31.01,32.4,1.0
32.11,32.88,31.5,32.81,-1.0
32.61,32.69,31.1,31.68,1.0
31.69,32.6,31.39,32.15,1.0
32.71,33.92,32.12,33.61,1.0
32.3,34.47,32.3,34.19,1.0
33.81,36.9,33.79,35.0,1.0
34.51,35.9,34.51,35.47,-1.0
35.51,35.61,34.71,34.8,-1.0
34.48,34.49,33.72,34.01,-1.0
34.79,35.89,34.23,34.55,-1.0
34.3,34.45,33.9,34.1,-1.0
34.44,35.29,34.1,34.39,1.0
33.98,35.28,33.95,35.0,1.0
35.0,35.95,34.74,35.05,-1.0
35.3,35.38,34.38,34.82,1.0
34.54,35.09,34.35,34.57,-1.0
34.33,34.66,33.55,33.65,1.0
33.73,35.2,33.7,34.65,-1.0
34.6,34.6,33.88,34.08,-1.0
34.0,34.2,33.61,33.61,-1.0
33.81,33.87,31.81,32.11,0.0
31.75,31.75,30.67,31.75,1.0
31.79,32.78,31.4,32.68,1.0
32.51,33.49,32.26,32.55,1.0
32.3,33.18,32.22,32.71,1.0
32.6,33.06,32.51,32.7,-1.0
32.37,32.37,31.18,31.2,-1.0
31.35,31.58,30.7,30.94,-1.0
31.1,31.2,30.8,30.94,-1.0
31.4,31.69,31.01,31.1,-1.0
31.15,31.2,29.58,29.74,1.0
29.85,30.04,28.7,29.99,1.0
29.7,30.44,29.3,30.21,1.0
30.03,30.9,30.03,30.8,-1.0
30.6,31.36,30.27,30.53,1.0
30.61,31.33,30.57,31.11,1.0
31.3,31.68,31.0,31.44,1.0
31.46,33.09,31.26,32.16,-1.0
32.22,32.32,31.58,31.85,-1.0
31.57,31.82,31.02,31.14,-1.0
30.87,31.12,30.23,30.23,1.0
30.15,30.99,29.7,30.79,1.0
30.56,32.35,30.56,31.64,-1.0
32.4,33.6,32.09,32.09,1.0
31.88,34.0,31.65,33.71,1.0
33.9,35.28,33.88,34.01,1.0
34.1,35.09,34.1,34.17,-1.0
34.05,34.7,33.64,33.69,1.0
33.64,33.8,32.86,33.75,1.0
33.95,35.3,33.95,35.15,-1.0
34.54,35.1,33.65,33.65,-1.0
33.75,33.9,32.79,32.85,-1.0
32.86,32.86,31.91,32.69,1.0
32.51,34.34,32.5,34.07,-1.0
33.98,34.37,33.2,33.4,-1.0
