OPEN,HIGH,LOW,CLOSE,UPDOWN
49.44,49.98,42.71,42.96,-1.0
45.01,46.0,43.52,44.45,1.0
42.0,43.57,41.52,43.03,1.0
42.81,43.98,42.58,43.54,-1.0
43.6,43.77,41.75,41.95,1.0
41.95,42.86,41.7,42.02,1.0
41.68,42.44,41.5,42.0,-1.0
42.1,42.39,40.0,40.12,-1.0
40.25,40.25,38.95,39.81,-1.0
39.41,40.28,39.0,39.01,1.0
39.35,39.65,38.66,39.5,1.0
39.2,39.79,39.05,39.7,1.0
39.85,40.45,39.82,40.15,-1.0
40.01,40.19,39.6,39.9,1.0
39.96,41.69,39.96,40.91,1.0
40.86,41.69,40.44,41.25,1.0
41.12,41.87,40.72,41.2,-1.0
41.3,41.49,39.0,39.36,1.0
39.43,39.77,39.11,39.49,1.0
39.0,39.39,38.8,39.25,0.0
39.15,39.75,38.98,39.15,-1.0
38.9,39.3,38.19,38.48,1.0
38.6,39.4,38.42,39.4,-1.0
39.75,39.88,38.7,38.9,-1.0
38.5,38.88,36.08,36.3,-1.0
36.25,36.57,34.8,35.43,-1.0
35.5,36.15,35.01,35.24,-1.0
35.4,35.58,34.58,34.61,-1.0
34.9,34.9,33.4,33.48,1.0
33.47,33.9,33.45,33.9,1.0
34.6,37.29,34.6,37.29,1.0
36.64,37.52,35.71,37.4,1.0
37.01,37.65,36.81,37.18,1.0
37.58,38.2,37.18,37.59,-1.0
37.58,37.58,36.24,36.43,-1.0
36.44,37.25,36.3,36.38,-1.0
36.2,36.2,35.52,36.03,-1.0
35.8,36.95,35.62,35.67,-1.0
35.55,35.87,34.46,35.1,-1.0
35.35,35.35,34.1,35.26,1.0
35.48,38.2,35.29,37.13,1.0
36.5,37.8,36.32,37.15,1.0
37.33,38.2,36.6,37.69,1.0
37.6,38.59,37.5,38.09,1.0
38.1,39.97,38.09,39.69,-1.0
39.8,39.9,38.77,39.22,-1.0
39.35,39.84,38.2,38.26,1.0
38.1,39.2,38.0,38.86,1.0
38.88,41.0,38.65,40.09,-1.0
40.58,40.88,39.0,40.26,-1.0
40.34,40.34,38.65,38.93,-1.0
38.67,38.67,37.7,37.76,1.0
37.7,38.83,37.68,38.52,-1.0
38.61,38.88,38.0,38.38,1.0
38.6,39.89,38.55,39.59,-1.0
39.62,40.2,39.2,39.57,1.0
39.58,41.97,39.3,41.5,1.0
41.16,44.1,41.1,42.3,-1.0
42.0,42.9,39.22,39.6,1.0
39.58,42.0,39.52,41.9,-1.0
42.2,42.78,39.8,40.55,1.0
39.94,42.5,39.8,40.73,1.0
41.39,43.99,40.18,43.64,1.0
43.6,45.5,43.15,45.1,-1.0
44.55,45.79,43.63,44.35,1.0
43.99,47.49,43.65,47.39,1.0
47.0,49.69,46.7,49.49,-1.0
49.6,50.01,47.2,48.12,1.0
47.79,52.93,47.79,52.93,1.0
52.57,54.87,52.31,53.04,-1.0
53.1,53.1,48.16,50.07,1.0
49.92,53.99,49.81,51.77,-1.0
52.0,52.87,50.0,51.18,-1.0
51.29,51.38,48.0,49.7,0.0
49.7,49.7,49.7,49.7,1.0
48.03,50.29,46.71,50.03,1.0
49.4,51.5,49.0,49.56,-1.0
50.78,52.5,49.58,50.0,1.0
51.19,55.0,51.07,55.0,0.0
60.5,60.5,60.5,60.5,1.0
63.59,66.55,62.33,64.55,-1.0
64.04,65.24,61.38,62.62,1.0
64.0,68.88,63.11,66.99,-1.0
65.0,65.88,63.0,64.4,-1.0
63.8,64.4,59.5,60.08,1.0
61.0,61.97,59.4,61.3,1.0
61.5,65.28,59.7,62.58,-1.0
62.0,64.5,59.0,59.66,1.0
58.2,60.49,56.85,59.79,-1.0
59.82,61.84,57.21,57.55,1.0
58.11,61.18,58.01,58.8,1.0
57.97,60.51,57.0,60.01,1.0
59.71,64.86,59.71,64.14,-1.0
64.7,65.0,63.0,64.38,1.0
64.5,65.69,62.6,65.65,-1.0
64.97,69.08,63.7,64.11,-1.0
64.11,65.49,62.57,62.81,1.0
63.08,64.9,62.51,64.23,-1.0
63.7,63.7,57.81,57.81,-1.0
57.1,57.9,55.08,55.51,-1.0
55.97,56.76,52.98,54.91,1.0
54.97,56.8,53.82,56.1,-1.0
55.35,55.68,53.0,53.0,1.0
53.0,54.29,52.21,53.4,-1.0
53.6,53.6,52.3,52.82,1.0
52.9,55.03,51.01,54.29,1.0
53.28,55.89,52.9,54.22,-1.0
53.91,53.92,51.56,53.25,-1.0
52.8,53.17,47.93,47.93,-1.0
47.48,47.48,43.61,45.01,1.0
45.09,46.29,44.3,45.5,1.0
45.0,46.8,43.6,45.88,1.0
45.88,47.78,45.35,46.61,1.0
46.59,47.9,46.03,47.7,-1.0
47.0,47.66,45.32,46.45,-1.0
46.1,46.42,44.44,44.44,1.0
44.44,48.88,44.44,48.88,-1.0
50.49,50.98,49.3,50.2,1.0
50.5,53.4,50.5,51.6,-1.0
51.91,52.99,50.21,51.87,1.0
51.99,53.78,51.9,53.0,1.0
53.02,54.88,52.2,53.27,-1.0
53.3,53.94,51.2,51.2,1.0
50.18,53.1,50.18,53.0,1.0
52.59,56.56,52.5,55.2,1.0
55.21,58.77,55.21,56.1,1.0
55.89,58.98,55.15,58.04,1.0
58.05,58.67,56.18,58.3,1.0
57.9,60.5,57.65,58.89,-1.0
58.51,59.38,56.67,57.64,1.0
57.5,59.23,56.38,58.7,-1.0
58.02,59.8,56.28,56.28,1.0
56.23,58.3,56.22,57.44,-1.0
57.9,58.55,56.29,57.7,1.0
57.83,60.95,57.83,60.92,1.0
61.0,61.8,60.0,61.23,-1.0
65.98,65.98,61.98,62.0,1.0
62.1,68.0,62.0,64.7,1.0
64.6,65.96,63.02,65.23,-1.0
64.79,65.76,61.02,63.5,1.0
63.3,65.6,62.55,63.48,1.0
63.37,65.19,61.81,64.32,-1.0
66.1,67.2,64.33,64.5,1.0
64.29,67.88,63.49,66.6,-1.0
66.9,68.85,62.6,63.1,1.0
63.0,63.5,61.8,63.13,-1.0
62.9,63.79,62.08,62.1,-1.0
62.2,62.4,59.1,59.97,1.0
60.2,61.92,59.61,60.67,-1.0
60.2,61.3,57.9,58.4,-1.0
58.4,58.86,57.16,57.78,1.0
58.0,60.29,57.35,59.38,1.0
58.79,60.18,58.5,59.99,-1.0
60.0,60.5,56.7,57.66,1.0
57.1,58.3,56.5,57.19,0.0
57.19,57.19,57.19,57.19,1.0
56.81,62.91,56.81,62.1,1.0
61.38,63.41,61.11,62.15,1.0
61.93,63.4,61.21,62.29,1.0
62.98,66.57,62.03,66.57,-1.0
67.8,68.03,65.01,66.7,-1.0
66.71,66.71,62.0,63.08,-1.0
63.5,64.69,63.05,63.36,1.0
64.5,69.7,63.01,69.7,-1.0
