,OPEN,HIGH,LOW,CLOSE,RSI
2013-08-26 00:00:00.005,2061.417,2097.344,2056.133,2096.474,0.0
2013-08-27 00:00:00.005,2095.44,2105.376,2090.425,2103.567,0.0
2013-08-28 00:00:00.005,2092.311,2113.817,2080.861,2101.301,0.0
2013-08-29 00:00:00.005,2108.436,2110.894,2088.236,2097.227,0.0
2013-08-30 00:00:00.005,2097.217,2114.393,2089.095,2098.382,0.0
2013-09-02 00:00:00.005,2104.09,2108.683,2078.455,2098.448,0.0
2013-09-03 00:00:00.005,2100.449,2123.847,2095.455,2123.112,0.0
2013-09-04 00:00:00.005,2121.68,2132.996,2115.753,2127.618,0.0
2013-09-05 00:00:00.005,2125.255,2127.855,2115.236,2122.43,0.0
2013-09-06 00:00:00.005,2119.333,2143.244,2119.021,2139.993,0.0
2013-09-09 00:00:00.005,2151.347,2218.529,2151.347,2212.516,0.0
2013-09-10 00:00:00.005,2214.814,2238.551,2202.817,2237.984,0.0
2013-09-11 00:00:00.005,2244.962,2258.075,2233.003,2241.268,0.0
2013-09-12 00:00:00.005,2236.171,2270.268,2226.288,2255.605,0.0
2013-09-13 00:00:00.005,2251.462,2259.424,2228.483,2236.217,0.0
2013-09-16 00:00:00.005,2244.463,2248.471,2226.171,2231.401,0.0
2013-09-17 00:00:00.005,2230.388,2230.929,2184.922,2185.56,0.0
2013-09-18 00:00:00.005,2185.936,2195.904,2172.043,2191.851,0.0
2013-09-23 00:00:00.005,2199.361,2223.068,2198.336,2221.044,0.0
2013-09-24 00:00:00.005,2219.467,2219.543,2187.236,2207.531,0.0
2013-09-25 00:00:00.005,2206.225,2217.974,2193.722,2198.515,0.0
2013-09-26 00:00:00.005,2192.226,2192.226,2154.721,2155.809,0.0
2013-09-27 00:00:00.005,2150.961,2165.777,2149.594,2160.027,0.0
2013-09-30 00:00:00.005,2167.734,2176.303,2165.162,2174.665,0.0
2013-10-08 00:00:00.005,2171.904,2200.018,2161.489,2198.199,0.0
2013-10-09 00:00:00.005,2191.392,2212.347,2185.181,2211.769,0.0
2013-10-10 00:00:00.005,2214.405,2214.592,2186.48,2190.929,0.0
2013-10-11 00:00:00.005,2201.409,2228.871,2200.53,2228.146,0.0
2013-10-14 00:00:00.005,2232.218,2242.984,2226.403,2237.773,0.0
2013-10-15 00:00:00.005,2237.931,2240.25,2221.139,2233.412,0.0
2013-10-16 00:00:00.005,2228.113,2228.113,2183.403,2193.074,0.0
2013-10-17 00:00:00.005,2201.71,2211.03,2183.246,2188.542,0.0
2013-10-18 00:00:00.005,2188.714,2203.291,2184.36,2193.78,0.0
2013-10-21 00:00:00.005,2198.114,2230.285,2190.394,2229.237,0.0
2013-10-22 00:00:00.005,2227.341,2227.341,2204.244,2210.652,0.0
2013-10-23 00:00:00.005,2213.274,2226.847,2177.725,2183.107,0.0
2013-10-24 00:00:00.005,2178.82,2183.412,2159.871,2164.322,0.0
2013-10-25 00:00:00.005,2163.689,2170.612,2122.678,2132.955,0.0
2013-10-28 00:00:00.005,2135.879,2140.957,2123.069,2133.869,0.0
2013-10-29 00:00:00.005,2135.226,2163.657,2093.197,2128.864,0.0
2013-10-30 00:00:00.005,2126.69,2161.935,2121.841,2160.463,0.0
2013-10-31 00:00:00.005,2155.511,2155.511,2137.466,2141.614,0.0
