,OPEN,HIGH,LOW,CLOSE,RSI
2013-08-26 00:00:00.005,3265.241,3328.767,3249.862,3327.694,0.0
2013-08-27 00:00:00.005,3339.06,3390.383,3333.298,3379.058,0.0
2013-08-28 00:00:00.005,3381.665,3436.528,3358.008,3410.517,0.0
2013-08-29 00:00:00.005,3434.641,3453.021,3418.517,3444.081,0.0
2013-08-30 00:00:00.005,3477.131,3554.825,3474.191,3530.468,0.0
2013-09-02 00:00:00.005,3581.395,3589.119,3460.236,3511.456,0.0
2013-09-03 00:00:00.005,3487.869,3528.693,3468.279,3514.527,0.0
2013-09-04 00:00:00.005,3522.465,3559.143,3507.749,3547.151,0.0
2013-09-05 00:00:00.005,3533.304,3561.997,3503.564,3549.845,0.0
2013-09-06 00:00:00.005,3545.213,3638.721,3545.213,3629.863,0.0
2013-09-09 00:00:00.005,3667.047,3742.272,3646.331,3731.527,0.0
2013-09-10 00:00:00.005,3714.416,3883.344,3706.879,3850.739,0.0
2013-09-11 00:00:00.005,3863.071,3907.356,3830.986,3860.4,0.0
2013-09-12 00:00:00.005,3840.589,3878.022,3815.276,3865.495,0.0
2013-09-13 00:00:00.005,3865.231,3882.501,3782.832,3815.189,0.0
2013-09-16 00:00:00.005,3806.694,3832.413,3785.702,3797.089,0.0
2013-09-17 00:00:00.005,3795.508,3795.508,3674.292,3677.054,0.0
2013-09-18 00:00:00.005,3672.345,3730.122,3672.345,3712.512,0.0
2013-09-23 00:00:00.005,3720.646,3781.341,3716.316,3768.298,0.0
2013-09-24 00:00:00.005,3752.168,3817.266,3719.573,3804.542,0.0
2013-09-25 00:00:00.005,3799.595,3836.703,3741.888,3758.049,0.0
2013-09-26 00:00:00.005,3720.497,3720.497,3614.51,3618.392,0.0
2013-09-27 00:00:00.005,3570.679,3610.261,3570.679,3597.656,0.0
2013-09-30 00:00:00.005,3608.439,3635.533,3603.224,3632.084,0.0
2013-10-08 00:00:00.005,3643.319,3698.945,3619.012,3698.515,0.0
2013-10-09 00:00:00.005,3692.957,3739.156,3676.614,3737.731,0.0
2013-10-10 00:00:00.005,3749.457,3749.457,3674.823,3688.588,0.0
2013-10-11 00:00:00.005,3705.908,3774.221,3703.627,3771.572,0.0
2013-10-14 00:00:00.005,3783.533,3825.335,3768.186,3824.33,0.0
2013-10-15 00:00:00.005,3817.692,3836.453,3783.453,3824.206,0.0
2013-10-16 00:00:00.005,3810.704,3810.704,3693.419,3712.805,0.0
2013-10-17 00:00:00.005,3729.828,3752.625,3692.752,3700.415,0.0
2013-10-18 00:00:00.005,3698.813,3706.929,3676.73,3690.04,0.0
2013-10-21 00:00:00.005,3696.553,3759.353,3676.863,3757.885,0.0
2013-10-22 00:00:00.005,3756.023,3767.579,3711.724,3729.51,0.0
2013-10-23 00:00:00.005,3729.917,3761.186,3664.871,3685.756,0.0
2013-10-24 00:00:00.005,3675.104,3684.483,3648.249,3657.585,0.0
2013-10-25 00:00:00.005,3654.821,3664.44,3570.75,3584.454,0.0
2013-10-28 00:00:00.005,3585.494,3603.977,3570.351,3596.591,0.0
2013-10-29 00:00:00.005,3598.223,3633.967,3508.953,3594.256,0.0
2013-10-30 00:00:00.005,3584.841,3681.058,3582.383,3679.11,0.0
2013-10-31 00:00:00.005,3665.409,3673.889,3638.549,3644.415,0.0
2013-11-01 00:00:00.005,3642.789,3675.386,3622.704,3657.125,0.0
2013-11-04 00:00:00.005,3666.028,3677.128,3645.608,3661.224,0.0
2013-11-05 00:00:00.005,3641.615,3684.498,3611.161,3683.601,0.0
2013-11-06 00:00:00.005,3668.325,3685.838,3631.241,3636.554,0.0
2013-11-07 00:00:00.005,3624.469,3650.205,3608.894,3621.635,0.0
2013-11-08 00:00:00.005,3614.105,3634.098,3581.972,3588.099,0.0
2013-11-11 00:00:00.005,3581.019,3594.287,3540.362,3563.498,0.0
2013-11-12 00:00:00.005,3564.923,3586.52,3553.436,3579.499,0.0
2013-11-13 00:00:00.005,3562.42,3562.42,3493.631,3495.165,0.0
2013-11-14 00:00:00.005,3494.433,3516.26,3466.551,3514.655,0.0
2013-11-15 00:00:00.005,3517.345,3616.061,3517.142,3577.499,0.0
2013-11-18 00:00:00.005,3597.528,3669.737,3588.121,3669.737,0.0
