,OPEN,HIGH,LOW,CLOSE,RSI
2013-08-26 00:00:00.005,2157.332,2194.998,2151.78,2194.088,0.0
2013-08-27 00:00:00.005,2192.99,2203.431,2187.805,2201.658,0.0
2013-08-28 00:00:00.005,2189.856,2212.608,2178.044,2199.536,0.0
2013-08-29 00:00:00.005,2207.062,2209.664,2185.998,2195.35,0.0
2013-08-30 00:00:00.005,2195.335,2213.3,2186.711,2196.383,0.0
2013-09-02 00:00:00.005,2202.386,2207.22,2175.584,2196.601,0.0
2013-09-03 00:00:00.005,2198.712,2223.224,2193.454,2222.438,0.0
2013-09-04 00:00:00.005,2220.894,2232.825,2214.709,2227.221,0.0
2013-09-05 00:00:00.005,2224.729,2227.517,2214.245,2221.825,0.0
2013-09-06 00:00:00.005,2218.535,2243.65,2218.234,2240.229,0.0
2013-09-09 00:00:00.005,2252.164,2322.844,2252.164,2316.302,0.0
2013-09-10 00:00:00.005,2318.699,2343.461,2306.073,2342.862,0.0
2013-09-11 00:00:00.005,2350.178,2363.794,2337.493,2346.107,0.0
2013-09-12 00:00:00.005,2340.722,2376.6,2330.432,2361.199,0.0
2013-09-13 00:00:00.005,2356.827,2365.252,2332.882,2341.054,0.0
2013-09-16 00:00:00.005,2349.755,2354.004,2330.569,2336.12,0.0
2013-09-17 00:00:00.005,2335.096,2335.667,2287.255,2287.939,0.0
2013-09-18 00:00:00.005,2288.36,2298.68,2273.644,2294.403,0.0
2013-09-23 00:00:00.005,2302.254,2327.02,2301.182,2324.879,0.0
2013-09-24 00:00:00.005,2323.279,2323.348,2289.397,2310.672,0.0
2013-09-25 00:00:00.005,2309.293,2321.678,2296.251,2301.235,0.0
2013-09-26 00:00:00.005,2294.695,2294.695,2255.542,2256.683,0.0
2013-09-27 00:00:00.005,2251.673,2267.093,2250.166,2261.045,0.0
2013-09-30 00:00:00.005,2269.16,2278.126,2266.399,2276.265,0.0
2013-10-08 00:00:00.005,2273.38,2302.857,2262.491,2300.949,0.0
2013-10-09 00:00:00.005,2293.81,2315.754,2287.309,2315.144,0.0
2013-10-10 00:00:00.005,2317.912,2318.108,2288.604,2293.229,0.0
2013-10-11 00:00:00.005,2304.242,2332.961,2303.283,2332.202,0.0
2013-10-14 00:00:00.005,2336.458,2347.804,2330.381,2342.377,0.0
2013-10-15 00:00:00.005,2342.564,2344.932,2324.896,2337.758,0.0
2013-10-16 00:00:00.005,2332.22,2332.22,2285.384,2295.505,0.0
2013-10-17 00:00:00.005,2304.56,2314.25,2285.155,2290.704,0.0
2013-10-18 00:00:00.005,2290.909,2306.18,2286.32,2296.194,0.0
2013-10-21 00:00:00.005,2300.771,2334.556,2292.671,2333.429,0.0
2013-10-22 00:00:00.005,2331.426,2331.426,2307.21,2313.935,0.0
2013-10-23 00:00:00.005,2316.699,2330.929,2279.465,2285.072,0.0
2013-10-24 00:00:00.005,2280.549,2285.362,2260.638,2265.31,0.0
2013-10-25 00:00:00.005,2264.64,2271.943,2221.719,2232.507,0.0
2013-10-28 00:00:00.005,2235.604,2240.946,2222.147,2233.471,0.0
2013-10-29 00:00:00.005,2234.904,2264.762,2190.948,2228.34,0.0
2013-10-30 00:00:00.005,2226.054,2263.024,2220.964,2261.458,0.0
2013-10-31 00:00:00.005,2256.28,2256.28,2237.291,2241.641,0.0
2013-11-01 00:00:00.005,2239.852,2258.148,2232.229,2250.007,0.0
2013-11-04 00:00:00.005,2256.879,2261.607,2243.334,2250.096,0.0
2013-11-05 00:00:00.005,2239.791,2258.992,2224.051,2258.034,0.0
2013-11-06 00:00:00.005,2249.781,2267.472,2238.723,2239.586,0.0
2013-11-07 00:00:00.005,2236.461,2241.69,2218.125,2228.839,0.0
2013-11-08 00:00:00.005,2219.919,2228.018,2201.707,2204.456,0.0
2013-11-11 00:00:00.005,2201.48,2216.188,2191.375,2208.006,0.0
2013-11-12 00:00:00.005,2209.333,2227.544,2207.016,2226.319,0.0
2013-11-13 00:00:00.005,2217.005,2217.035,2183.62,2185.648,0.0
2013-11-14 00:00:00.005,2184.809,2200.793,2176.24,2198.803,0.0
2013-11-15 00:00:00.005,2199.226,2253.966,2199.106,2235.776,0.0
2013-11-18 00:00:00.005,2247.895,2301.323,2244.034,2300.166,0.0
2013-11-19 00:00:00.005,2301.317,2306.521,2288.499,2295.844,0.0
2013-11-20 00:00:00.005,2304.623,2310.558,2289.051,2309.957,0.0
2013-11-21 00:00:00.005,2299.89,2309.869,2279.639,2309.057,0.0
2013-11-22 00:00:00.005,2309.811,2314.643,2291.234,2299.232,0.0
2013-11-25 00:00:00.005,2288.393,2312.646,2283.52,2288.457,0.0
2013-11-26 00:00:00.005,2286.603,2295.245,2278.014,2285.279,0.0
2013-11-27 00:00:00.005,2283.89,2311.025,2278.745,2304.151,0.0
