,OPEN,HIGH,LOW,CLOSE,MACD
2013-08-26 00:00:00.005,3828.446,3893.236,3823.863,3892.445,0.0
2013-08-27 00:00:00.005,3887.754,3901.361,3873.376,3896.61,0.0
2013-08-28 00:00:00.005,3886.137,3907.104,3857.987,3886.612,0.0
2013-08-29 00:00:00.005,3893.198,3901.228,3862.46,3875.123,0.0
2013-08-30 00:00:00.005,3871.052,3892.496,3855.974,3870.017,0.0
2013-09-02 00:00:00.005,3872.25,3883.648,3851.088,3873.333,0.0
2013-09-03 00:00:00.005,3878.821,3919.821,3878.821,3919.486,0.0
2013-09-04 00:00:00.005,3917.023,3924.331,3909.058,3918.825,0.0
2013-09-05 00:00:00.005,3916.278,3917.252,3901.873,3911.934,0.0
2013-09-06 00:00:00.005,3907.865,3936.904,3906.056,3934.107,0.0
2013-09-09 00:00:00.005,3945.057,4065.032,3945.057,4056.867,0.0
2013-09-10 00:00:00.005,4060.899,4098.835,4056.644,4096.288,0.0
2013-09-11 00:00:00.005,4107.689,4131.125,4092.763,4104.978,0.0
2013-09-12 00:00:00.005,4101.88,4168.126,4084.321,4135.284,0.0
2013-09-13 00:00:00.005,4134.221,4143.251,4101.959,4111.11,0.0
2013-09-16 00:00:00.005,4118.291,4128.635,4078.037,4091.503,0.0
2013-09-17 00:00:00.005,4091.436,4094.252,4026.058,4030.338,0.0
2013-09-18 00:00:00.005,4026.371,4035.677,4001.373,4031.308,0.0
2013-09-23 00:00:00.005,4036.317,4081.565,4036.317,4076.215,0.0
2013-09-24 00:00:00.005,4074.698,4074.698,4009.703,4038.931,0.0
2013-09-25 00:00:00.005,4033.714,4053.74,4017.656,4019.791,0.0
2013-09-26 00:00:00.005,4013.62,4013.958,3968.486,3973.093,0.0
2013-09-27 00:00:00.005,3967.699,3985.387,3964.664,3982.403,0.0
2013-09-30 00:00:00.005,3990.543,4008.696,3990.478,4006.393,0.0
2013-10-08 00:00:00.005,3996.773,4057.666,3981.736,4053.318,0.0
2013-10-09 00:00:00.005,4046.781,4066.867,4035.2,4065.624,0.0
2013-10-10 00:00:00.005,4067.763,4072.484,4023.8,4030.549,0.0
2013-10-11 00:00:00.005,4039.279,4085.316,4039.279,4081.956,0.0
2013-10-14 00:00:00.005,4084.968,4098.612,4075.029,4085.246,0.0
2013-10-15 00:00:00.005,4086.691,4094.139,4062.213,4079.92,0.0
2013-10-16 00:00:00.005,4074.77,4074.77,4010.044,4022.257,0.0
2013-10-17 00:00:00.005,4029.851,4043.113,4007.846,4011.24,0.0
2013-10-18 00:00:00.005,4015.739,4040.874,4013.131,4029.731,0.0
2013-10-21 00:00:00.005,4033.154,4091.015,4024.151,4088.41,0.0
2013-10-22 00:00:00.005,4086.79,4086.79,4046.972,4054.61,0.0
2013-10-23 00:00:00.005,4059.511,4089.412,4016.275,4023.689,0.0
2013-10-24 00:00:00.005,4020.869,4023.386,3985.877,3991.593,0.0
2013-10-25 00:00:00.005,3991.992,4003.21,3921.632,3939.675,0.0
2013-10-28 00:00:00.005,3941.403,3947.873,3917.642,3937.327,0.0
2013-10-29 00:00:00.005,3938.467,3995.713,3890.633,3939.409,0.0
2013-10-30 00:00:00.005,3940.774,3988.233,3930.666,3985.846,0.0
2013-10-31 00:00:00.005,3978.576,3978.576,3938.378,3943.675,0.0
2013-11-01 00:00:00.005,3944.709,3969.029,3931.718,3962.721,0.0
2013-11-04 00:00:00.005,3967.987,3982.034,3949.838,3955.899,0.0
2013-11-05 00:00:00.005,3947.203,3964.123,3908.622,3957.704,0.0
2013-11-06 00:00:00.005,3948.939,3958.237,3919.196,3923.198,0.0
2013-11-07 00:00:00.005,3921.667,3922.68,3887.454,3901.131,0.0
2013-11-08 00:00:00.005,3896.003,3899.837,3848.786,3851.462,0.0
2013-11-11 00:00:00.005,3849.101,3865.489,3826.812,3853.46,0.0
2013-11-12 00:00:00.005,3857.724,3889.936,3857.724,3886.46,0.0
2013-11-13 00:00:00.005,3876.254,3876.254,3818.792,3818.792,0.0
2013-11-14 00:00:00.005,3819.071,3834.585,3803.749,3833.402,0.0
2013-11-15 00:00:00.005,3837.036,3943.069,3836.411,3905.0,0.0
2013-11-18 00:00:00.005,3924.599,4028.998,3922.644,4028.518,0.0
2013-11-19 00:00:00.005,4029.278,4030.306,3999.547,4005.042,0.0
2013-11-20 00:00:00.005,4018.477,4037.94,3994.119,4018.336,0.0
2013-11-21 00:00:00.005,4008.321,4008.321,3958.633,3993.456,0.0
2013-11-22 00:00:00.005,3995.895,4001.406,3971.868,3975.598,0.0
2013-11-25 00:00:00.005,3962.542,4000.125,3955.243,3959.585,0.0
2013-11-26 00:00:00.005,3958.996,3969.488,3946.458,3953.193,0.0
2013-11-27 00:00:00.005,3951.703,4002.548,3945.134,3988.766,0.0
2013-11-28 00:00:00.005,3994.056,4053.409,3993.602,4025.038,0.0
2013-11-29 00:00:00.005,4027.748,4033.291,4019.216,4026.247,0.0
2013-12-02 00:00:00.005,4017.7,4052.617,3964.004,3994.054,0.0
2013-12-03 00:00:00.005,3978.409,4030.392,3975.151,4023.629,0.0
2013-12-04 00:00:00.005,4023.95,4086.434,4017.667,4070.454,0.0
2013-12-05 00:00:00.005,4068.015,4076.503,4054.229,4062.341,0.0
2013-12-06 00:00:00.005,4056.659,4056.659,4027.851,4037.295,0.0
2013-12-09 00:00:00.005,4041.426,4059.913,4026.951,4035.706,0.0
2013-12-10 00:00:00.005,4038.634,4053.053,4029.95,4038.855,0.0
2013-12-11 00:00:00.005,4030.154,4030.154,3969.688,3986.636,0.0
2013-12-12 00:00:00.005,3983.041,3998.978,3976.016,3982.023,0.0
2013-12-13 00:00:00.005,3967.859,3990.062,3950.415,3983.824,0.0
2013-12-16 00:00:00.005,3987.384,3989.245,3930.912,3931.982,0.0
2013-12-17 00:00:00.005,3932.62,3935.924,3911.514,3914.43,0.0
2013-12-18 00:00:00.005,3916.533,3929.693,3909.636,3917.571,0.0
2013-12-19 00:00:00.005,3921.882,3929.127,3887.822,3888.25,0.0
2013-12-20 00:00:00.005,3888.493,3891.023,3820.391,3829.276,0.0
2013-12-23 00:00:00.005,3815.156,3825.781,3785.085,3811.937,0.0
2013-12-24 00:00:00.005,3817.102,3851.594,3796.805,3816.958,0.0
2013-12-25 00:00:00.005,3818.905,3839.259,3810.313,3838.897,0.0
2013-12-26 00:00:00.005,3836.996,3837.967,3790.635,3794.967,0.0
2013-12-27 00:00:00.005,3795.351,3859.695,3795.02,3842.96,0.0
2013-12-30 00:00:00.005,3852.275,3859.275,3833.832,3841.865,0.0
2013-12-31 00:00:00.005,3833.56,3884.089,3825.188,3880.272,0.0
2014-01-02 00:00:00.005,3874.756,3875.443,3853.653,3872.798,0.0
2014-01-03 00:00:00.005,3864.956,3864.956,3822.73,3838.0,0.0
2014-01-06 00:00:00.005,3833.136,3833.136,3760.478,3772.625,0.0
2014-01-07 00:00:00.005,3757.874,3780.684,3749.379,3773.463,0.0
2014-01-08 00:00:00.005,3773.673,3803.7,3765.237,3779.982,0.0
2014-01-09 00:00:00.005,3775.769,3801.958,3759.964,3761.143,0.0
2014-01-10 00:00:00.005,3758.721,3758.721,3735.954,3740.307,0.0
2014-01-13 00:00:00.005,3739.544,3756.826,3712.357,3721.533,0.0
2014-01-14 00:00:00.005,3721.641,3742.212,3704.409,3741.597,0.0
2014-01-15 00:00:00.005,3740.104,3743.656,3719.121,3737.543,0.0
2014-01-16 00:00:00.005,3735.907,3754.798,3726.962,3738.105,0.0
2014-01-17 00:00:00.005,3733.624,3733.624,3698.179,3698.179,0.0
2014-01-20 00:00:00.005,3698.446,3698.926,3671.765,3683.187,0.0
2014-01-21 00:00:00.005,3685.744,3721.733,3685.199,3707.443,0.0
2014-01-22 00:00:00.005,3710.798,3789.099,3710.332,3788.212,0.0
