,OPEN,HIGH,LOW,CLOSE
2013-08-26 00:00:00.005,3.82,3.88,3.75,3.84
2013-08-27 00:00:00.005,3.82,3.97,3.82,3.86
2013-08-28 00:00:00.005,3.82,3.88,3.78,3.79
2013-08-29 00:00:00.005,3.78,3.83,3.72,3.73
2013-08-30 00:00:00.005,3.73,3.92,3.65,3.92
2013-09-02 00:00:00.005,3.88,4.04,3.85,3.88
2013-09-03 00:00:00.005,3.88,3.95,3.87,3.92
2013-09-04 00:00:00.005,3.92,4.12,3.9,4.12
2013-09-05 00:00:00.005,4.16,4.21,4.0,4.06
2013-09-06 00:00:00.005,4.06,4.06,3.87,3.89
2013-09-09 00:00:00.005,3.91,3.92,3.85,3.9
2013-09-10 00:00:00.005,3.9,3.92,3.85,3.92
2013-09-11 00:00:00.005,3.9,3.92,3.85,3.86
2013-09-12 00:00:00.005,3.87,3.89,3.84,3.87
2013-09-13 00:00:00.005,3.85,3.89,3.83,3.89
2013-09-16 00:00:00.005,3.87,4.08,3.87,3.99
2013-09-17 00:00:00.005,3.97,4.01,3.89,3.92
2013-09-18 00:00:00.005,3.95,4.0,3.88,3.97
2013-09-23 00:00:00.005,3.96,4.02,3.96,4.0
2013-09-24 00:00:00.005,4.0,4.01,3.93,3.95
2013-09-25 00:00:00.005,3.93,3.96,3.83,3.84
2013-09-26 00:00:00.005,3.85,3.87,3.71,3.72
2013-09-27 00:00:00.005,3.69,3.84,3.69,3.75
2013-09-30 00:00:00.005,3.75,3.83,3.74,3.82
2013-10-08 00:00:00.005,3.81,3.81,3.74,3.8
2013-10-09 00:00:00.005,3.8,3.8,3.74,3.77
2013-10-10 00:00:00.005,3.75,3.85,3.74,3.78
2013-10-11 00:00:00.005,3.79,3.92,3.78,3.88
2013-10-14 00:00:00.005,3.88,3.92,3.85,3.9
2013-10-15 00:00:00.005,3.9,3.93,3.87,3.9
2013-10-16 00:00:00.005,3.9,4.04,3.86,3.87
2013-10-17 00:00:00.005,3.88,4.03,3.88,3.96
2013-10-18 00:00:00.005,4.0,4.02,3.95,4.0
2013-10-21 00:00:00.005,4.0,4.06,3.96,4.06
2013-10-22 00:00:00.005,4.05,4.05,3.98,3.99
2013-10-23 00:00:00.005,4.0,4.0,3.84,3.85
2013-10-24 00:00:00.005,3.8,3.88,3.8,3.83
2013-10-25 00:00:00.005,3.85,3.89,3.77,3.8
2013-10-28 00:00:00.005,3.8,3.82,3.77,3.81
2013-10-29 00:00:00.005,3.81,3.84,3.62,3.64
2013-10-30 00:00:00.005,3.63,3.7,3.6,3.69
2013-10-31 00:00:00.005,3.69,3.72,3.65,3.69
2013-11-01 00:00:00.005,3.7,3.71,3.64,3.68
2013-11-04 00:00:00.005,3.7,3.86,3.68,3.86
2013-11-05 00:00:00.005,3.9,3.96,3.87,3.93
2013-11-06 00:00:00.005,3.93,4.04,3.89,3.93
2013-11-07 00:00:00.005,3.93,4.02,3.9,3.96
2013-11-08 00:00:00.005,3.95,4.01,3.87,3.89
2013-11-11 00:00:00.005,3.88,4.08,3.83,4.08
2013-11-12 00:00:00.005,4.04,4.09,4.0,4.03
2013-11-13 00:00:00.005,4.04,4.14,4.0,4.01
2013-11-14 00:00:00.005,4.01,4.02,3.9,3.96
2013-11-15 00:00:00.005,3.96,4.0,3.92,4.0
2013-11-18 00:00:00.005,3.87,3.96,3.82,3.94
2013-11-19 00:00:00.005,3.94,3.96,3.89,3.93
2013-11-20 00:00:00.005,3.95,3.97,3.89,3.94
2013-11-21 00:00:00.005,3.94,3.96,3.89,3.95
2013-11-22 00:00:00.005,3.95,4.04,3.93,3.96
2013-11-25 00:00:00.005,3.98,3.99,3.86,3.92
2013-11-26 00:00:00.005,3.93,3.95,3.91,3.94
2013-11-27 00:00:00.005,3.95,4.0,3.91,3.99
2013-11-28 00:00:00.005,3.97,4.0,3.96,3.98
2013-11-29 00:00:00.005,3.97,4.04,3.94,3.98
2013-12-02 00:00:00.005,3.81,3.82,3.78,3.78
2013-12-03 00:00:00.005,3.59,3.65,3.59,3.59
2013-12-04 00:00:00.005,3.58,3.65,3.53,3.6
2013-12-05 00:00:00.005,3.6,3.65,3.56,3.59
2013-12-06 00:00:00.005,3.59,3.69,3.58,3.64
2013-12-09 00:00:00.005,3.63,3.67,3.62,3.64
2013-12-10 00:00:00.005,3.76,3.82,3.7,3.74
2013-12-11 00:00:00.005,3.71,3.75,3.67,3.7
2013-12-12 00:00:00.005,3.68,3.78,3.68,3.74
2013-12-13 00:00:00.005,3.73,3.78,3.72,3.77
2013-12-16 00:00:00.005,3.75,3.86,3.74,3.74
2013-12-17 00:00:00.005,3.74,3.79,3.74,3.75
2013-12-18 00:00:00.005,3.75,3.78,3.71,3.74
2013-12-19 00:00:00.005,3.72,3.78,3.72,3.74
2013-12-20 00:00:00.005,3.74,3.77,3.62,3.68
2013-12-23 00:00:00.005,3.68,3.69,3.55,3.59
2013-12-24 00:00:00.005,3.59,3.63,3.56,3.6
2013-12-25 00:00:00.005,3.6,3.63,3.55,3.63
2013-12-26 00:00:00.005,3.61,3.64,3.52,3.53
2013-12-27 00:00:00.005,3.55,3.6,3.55,3.59
2013-12-30 00:00:00.005,3.6,3.67,3.56,3.6
2013-12-31 00:00:00.005,3.58,3.6,3.52,3.58
2014-01-02 00:00:00.005,3.57,3.67,3.53,3.63
2014-01-03 00:00:00.005,3.63,3.69,3.63,3.68
2014-01-06 00:00:00.005,3.66,3.67,3.56,3.58
2014-01-07 00:00:00.005,3.56,3.58,3.53,3.54
2014-01-08 00:00:00.005,3.54,3.55,3.41,3.44
2014-01-09 00:00:00.005,3.43,3.51,3.41,3.42
2014-01-10 00:00:00.005,3.42,3.42,3.25,3.26
2014-01-13 00:00:00.005,3.22,3.3,3.2,3.25
2014-01-14 00:00:00.005,3.26,3.32,3.24,3.31
2014-01-15 00:00:00.005,3.3,3.31,3.26,3.29
2014-01-16 00:00:00.005,3.29,3.33,3.25,3.31
2014-01-17 00:00:00.005,3.29,3.29,3.24,3.28
2014-01-20 00:00:00.005,3.25,3.32,3.25,3.3
2014-01-21 00:00:00.005,3.29,3.33,3.28,3.31
2014-01-22 00:00:00.005,3.33,3.41,3.3,3.38
2014-01-23 00:00:00.005,3.39,3.4,3.36,3.37
2014-01-24 00:00:00.005,3.45,3.52,3.4,3.44
2014-01-27 00:00:00.005,3.42,3.47,3.38,3.41
2014-01-28 00:00:00.005,3.42,3.45,3.39,3.44
2014-01-29 00:00:00.005,3.42,3.45,3.41,3.43
2014-01-30 00:00:00.005,3.44,3.45,3.39,3.42
2014-02-07 00:00:00.005,3.41,3.44,3.37,3.43
2014-02-10 00:00:00.005,3.42,3.54,3.42,3.51
2014-02-11 00:00:00.005,3.52,3.56,3.5,3.54
2014-02-12 00:00:00.005,3.54,3.55,3.5,3.53
2014-02-13 00:00:00.005,3.53,3.53,3.46,3.47
2014-02-14 00:00:00.005,3.47,3.55,3.46,3.55
2014-02-17 00:00:00.005,3.54,3.73,3.53,3.73
2014-02-18 00:00:00.005,3.75,3.88,3.68,3.79
2014-02-19 00:00:00.005,3.8,3.86,3.75,3.81
2014-02-20 00:00:00.005,3.8,3.81,3.73,3.76
2014-02-21 00:00:00.005,3.75,3.81,3.7,3.77
2014-02-24 00:00:00.005,3.75,3.94,3.75,3.87
2014-02-25 00:00:00.005,3.86,3.9,3.68,3.71
2014-02-26 00:00:00.005,3.7,3.7,3.6,3.67
2014-02-27 00:00:00.005,3.65,3.75,3.63,3.67
2014-02-28 00:00:00.005,3.67,3.67,3.58,3.66
2014-03-03 00:00:00.005,3.66,3.71,3.63,3.69
2014-03-04 00:00:00.005,3.69,3.75,3.66,3.7
2014-03-05 00:00:00.005,3.7,3.73,3.68,3.7
2014-03-06 00:00:00.005,3.7,3.85,3.66,3.76
2014-03-07 00:00:00.005,3.77,3.89,3.75,3.88
2014-03-10 00:00:00.005,3.88,3.95,3.76,3.78
2014-03-11 00:00:00.005,3.76,3.83,3.76,3.81
2014-03-12 00:00:00.005,3.8,3.84,3.74,3.83
2014-03-13 00:00:00.005,3.82,3.99,3.81,3.92
2014-03-14 00:00:00.005,3.9,3.96,3.87,3.92
2014-03-17 00:00:00.005,3.91,3.98,3.9,3.96
2014-03-18 00:00:00.005,3.95,4.05,3.94,4.02
2014-03-19 00:00:00.005,4.01,4.13,3.96,4.13
2014-03-20 00:00:00.005,4.14,4.3,4.09,4.12
2014-03-21 00:00:00.005,4.09,4.29,4.09,4.26
2014-03-24 00:00:00.005,4.22,4.3,4.15,4.25
2014-03-25 00:00:00.005,4.24,4.26,4.06,4.11
2014-03-26 00:00:00.005,4.12,4.25,4.1,4.21
2014-03-27 00:00:00.005,4.18,4.23,4.16,4.2
2014-03-28 00:00:00.005,4.21,4.41,4.18,4.34
2014-03-31 00:00:00.005,4.34,4.34,4.34,4.34
2014-04-01 00:00:00.005,4.34,4.34,4.34,4.34
2014-04-02 00:00:00.005,4.34,4.34,4.34,4.34
2014-04-03 00:00:00.005,4.34,4.34,4.34,4.34
2014-04-04 00:00:00.005,4.34,4.34,4.34,4.34
2014-04-08 00:00:00.005,4.34,4.34,4.34,4.34
2014-04-09 00:00:00.005,4.34,4.34,4.34,4.34
2014-04-10 00:00:00.005,4.34,4.34,4.34,4.34
2014-04-11 00:00:00.005,4.34,4.34,4.34,4.34
2014-04-14 00:00:00.005,4.34,4.34,4.34,4.34
2014-04-15 00:00:00.005,4.34,4.34,4.34,4.34
2014-04-16 00:00:00.005,4.34,4.34,4.34,4.34
2014-04-17 00:00:00.005,4.34,4.34,4.34,4.34
2014-04-18 00:00:00.005,4.34,4.34,4.34,4.34
2014-04-21 00:00:00.005,4.34,4.34,4.34,4.34
2014-04-22 00:00:00.005,4.34,4.34,4.34,4.34
2014-04-23 00:00:00.005,4.34,4.34,4.34,4.34
2014-04-24 00:00:00.005,4.34,4.34,4.34,4.34
2014-04-25 00:00:00.005,4.34,4.34,4.34,4.34
2014-04-28 00:00:00.005,4.34,4.34,4.34,4.34
2014-04-29 00:00:00.005,4.34,4.34,4.34,4.34
2014-04-30 00:00:00.005,4.34,4.34,4.34,4.34
2014-05-05 00:00:00.005,4.34,4.34,4.34,4.34
2014-05-06 00:00:00.005,4.34,4.34,4.34,4.34
2014-05-07 00:00:00.005,4.34,4.34,4.34,4.34
2014-05-08 00:00:00.005,4.34,4.34,4.34,4.34
2014-05-09 00:00:00.005,4.34,4.34,4.34,4.34
2014-05-12 00:00:00.005,4.34,4.34,4.34,4.34
2014-05-13 00:00:00.005,4.34,4.34,4.34,4.34
2014-05-14 00:00:00.005,4.34,4.34,4.34,4.34
2014-05-15 00:00:00.005,4.34,4.34,4.34,4.34
2014-05-16 00:00:00.005,4.34,4.34,4.34,4.34
2014-05-19 00:00:00.005,4.34,4.34,4.34,4.34
2014-05-20 00:00:00.005,4.34,4.34,4.34,4.34
2014-05-21 00:00:00.005,4.34,4.34,4.34,4.34
2014-05-22 00:00:00.005,4.34,4.34,4.34,4.34
2014-05-23 00:00:00.005,4.34,4.34,4.34,4.34
2014-05-26 00:00:00.005,4.34,4.34,4.34,4.34
2014-05-27 00:00:00.005,4.34,4.34,4.34,4.34
2014-05-28 00:00:00.005,4.34,4.34,4.34,4.34
2014-05-29 00:00:00.005,4.34,4.34,4.34,4.34
2014-05-30 00:00:00.005,4.34,4.34,4.34,4.34
2014-06-03 00:00:00.005,4.34,4.34,4.34,4.34
2014-06-04 00:00:00.005,4.34,4.34,4.34,4.34
2014-06-05 00:00:00.005,4.34,4.34,4.34,4.34
2014-06-06 00:00:00.005,4.34,4.34,4.34,4.34
2014-06-09 00:00:00.005,4.34,4.34,4.34,4.34
2014-06-10 00:00:00.005,4.34,4.34,4.34,4.34
2014-06-11 00:00:00.005,4.34,4.34,4.34,4.34
2014-06-12 00:00:00.005,4.34,4.34,4.34,4.34
2014-06-13 00:00:00.005,4.34,4.34,4.34,4.34
2014-06-16 00:00:00.005,4.34,4.34,4.34,4.34
2014-06-17 00:00:00.005,4.34,4.34,4.34,4.34
2014-06-18 00:00:00.005,4.34,4.34,4.34,4.34
2014-06-19 00:00:00.005,4.34,4.34,4.34,4.34
2014-06-20 00:00:00.005,4.34,4.34,4.34,4.34
2014-06-23 00:00:00.005,4.34,4.34,4.34,4.34
2014-06-24 00:00:00.005,4.34,4.34,4.34,4.34
2014-06-25 00:00:00.005,4.34,4.34,4.34,4.34
2014-06-26 00:00:00.005,4.34,4.34,4.34,4.34
2014-06-27 00:00:00.005,4.34,4.34,4.34,4.34
2014-06-30 00:00:00.005,4.34,4.34,4.34,4.34
2014-07-01 00:00:00.005,4.34,4.34,4.34,4.34
2014-07-02 00:00:00.005,4.34,4.34,4.34,4.34
2014-07-03 00:00:00.005,4.34,4.34,4.34,4.34
2014-07-04 00:00:00.005,4.34,4.34,4.34,4.34
2014-07-07 00:00:00.005,4.34,4.34,4.34,4.34
2014-07-08 00:00:00.005,4.34,4.34,4.34,4.34
2014-07-09 00:00:00.005,4.34,4.34,4.34,4.34
2014-07-10 00:00:00.005,4.34,4.34,4.34,4.34
2014-07-11 00:00:00.005,4.34,4.34,4.34,4.34
2014-07-14 00:00:00.005,4.34,4.34,4.34,4.34
2014-07-15 00:00:00.005,4.34,4.34,4.34,4.34
2014-07-16 00:00:00.005,4.34,4.34,4.34,4.34
2014-07-17 00:00:00.005,4.34,4.34,4.34,4.34
2014-07-18 00:00:00.005,4.34,4.34,4.34,4.34
2014-07-21 00:00:00.005,4.34,4.34,4.34,4.34
2014-07-22 00:00:00.005,4.34,4.34,4.34,4.34
2014-07-23 00:00:00.005,4.34,4.34,4.34,4.34
2014-07-24 00:00:00.005,4.34,4.34,4.34,4.34
2014-07-25 00:00:00.005,4.34,4.34,4.34,4.34
2014-07-28 00:00:00.005,4.34,4.34,4.34,4.34
2014-07-29 00:00:00.005,4.77,4.77,4.77,4.77
2014-07-30 00:00:00.005,5.25,5.25,5.25,5.25
2014-07-31 00:00:00.005,5.78,5.78,5.78,5.78
2014-08-01 00:00:00.005,6.36,6.36,6.36,6.36
2014-08-04 00:00:00.005,7.0,7.0,7.0,7.0
2014-08-05 00:00:00.005,7.7,7.7,7.7,7.7
2014-08-06 00:00:00.005,8.47,8.47,8.47,8.47
2014-08-07 00:00:00.005,9.32,9.32,8.8,9.3
2014-08-08 00:00:00.005,8.92,9.06,8.37,8.37
2014-08-11 00:00:00.005,8.13,8.56,8.01,8.39
2014-08-12 00:00:00.005,8.3,8.46,8.07,8.4
2014-08-13 00:00:00.005,8.5,8.78,8.36,8.74
2014-08-14 00:00:00.005,8.66,8.68,8.4,8.42
2014-08-15 00:00:00.005,8.39,8.58,8.06,8.35
2014-08-18 00:00:00.005,8.0,8.57,7.88,8.38
2014-08-19 00:00:00.005,8.36,9.21,8.28,9.05
2014-08-20 00:00:00.005,8.8,9.14,8.66,8.85
2014-08-21 00:00:00.005,8.92,8.98,8.42,8.43
2014-08-22 00:00:00.005,8.43,8.54,8.2,8.43
2014-08-25 00:00:00.005,8.41,8.73,8.4,8.55
2014-08-26 00:00:00.005,8.51,8.71,8.35,8.36
