,OPEN,HIGH,LOW,CLOSE
2013-08-26 00:00:00.005,13.02,13.12,12.9,13.12
2013-08-27 00:00:00.005,13.16,13.46,13.12,13.45
2013-08-28 00:00:00.005,13.47,14.75,13.47,14.47
2013-08-29 00:00:00.005,14.4,14.4,13.8,13.93
2013-08-30 00:00:00.005,13.89,13.89,13.41,13.8
2013-09-02 00:00:00.005,13.81,14.39,13.81,14.1
2013-09-03 00:00:00.005,14.09,14.21,13.69,14.15
2013-09-04 00:00:00.005,14.26,14.86,14.26,14.6
2013-09-05 00:00:00.005,14.9,15.2,14.52,14.53
2013-09-06 00:00:00.005,14.35,15.04,14.25,15.01
2013-09-09 00:00:00.005,15.08,15.54,14.75,15.24
2013-09-10 00:00:00.005,15.18,15.3,14.92,15.24
2013-09-11 00:00:00.005,15.3,15.44,14.4,14.49
2013-09-12 00:00:00.005,14.62,14.72,14.36,14.48
2013-09-13 00:00:00.005,14.55,14.55,14.2,14.39
2013-09-16 00:00:00.005,14.45,14.57,14.31,14.39
2013-09-17 00:00:00.005,14.39,14.5,14.15,14.29
2013-09-18 00:00:00.005,14.25,14.45,14.22,14.42
2013-09-23 00:00:00.005,14.43,14.68,14.43,14.68
2013-09-24 00:00:00.005,14.73,14.8,14.48,14.5
2013-09-25 00:00:00.005,14.62,15.28,14.62,14.84
2013-09-26 00:00:00.005,14.8,15.37,14.71,14.9
2013-09-27 00:00:00.005,14.84,15.06,14.39,14.47
2013-09-30 00:00:00.005,14.44,14.59,14.15,14.27
2013-10-08 00:00:00.005,14.2,14.73,14.05,14.71
2013-10-09 00:00:00.005,14.75,15.28,14.62,15.09
2013-10-10 00:00:00.005,15.5,15.88,15.2,15.29
2013-10-11 00:00:00.005,15.31,15.73,15.12,15.58
2013-10-14 00:00:00.005,15.62,15.69,15.31,15.49
2013-10-15 00:00:00.005,15.49,15.85,15.19,15.27
2013-10-16 00:00:00.005,15.13,15.18,14.56,14.73
2013-10-17 00:00:00.005,14.77,15.19,14.77,15.18
2013-10-18 00:00:00.005,15.4,15.7,15.25,15.39
2013-10-21 00:00:00.005,15.25,15.65,15.08,15.54
2013-10-22 00:00:00.005,15.55,15.55,15.18,15.23
2013-10-23 00:00:00.005,15.16,15.39,14.67,14.79
2013-10-24 00:00:00.005,14.74,14.91,14.65,14.71
2013-10-25 00:00:00.005,14.83,14.85,14.35,14.42
2013-10-28 00:00:00.005,14.5,14.95,14.47,14.76
2013-10-29 00:00:00.005,14.88,14.94,14.03,14.42
2013-10-30 00:00:00.005,14.49,15.06,14.35,14.99
2013-10-31 00:00:00.005,14.85,15.31,14.7,15.15
2013-11-01 00:00:00.005,15.18,15.25,14.9,15.0
2013-11-04 00:00:00.005,15.11,15.29,14.96,14.99
2013-11-05 00:00:00.005,14.9,14.95,14.54,14.91
2013-11-06 00:00:00.005,14.86,15.46,14.75,15.19
2013-11-07 00:00:00.005,15.11,15.19,14.77,14.8
2013-11-08 00:00:00.005,14.69,14.95,14.59,14.75
2013-11-11 00:00:00.005,14.71,14.87,14.63,14.72
