,OPEN,HIGH,LOW,CLOSE
2013-08-26 00:00:00.005,6.33,6.42,6.29,6.41
2013-08-27 00:00:00.005,6.4,6.42,6.32,6.37
2013-08-28 00:00:00.005,6.3,6.4,6.27,6.33
2013-08-29 00:00:00.005,6.34,6.49,6.31,6.47
2013-08-30 00:00:00.005,6.45,6.48,6.3,6.34
2013-09-02 00:00:00.005,6.3,6.3,6.03,6.18
2013-09-03 00:00:00.005,6.18,6.27,6.12,6.26
2013-09-04 00:00:00.005,6.26,6.62,6.17,6.49
2013-09-05 00:00:00.005,6.49,6.51,6.28,6.31
2013-09-06 00:00:00.005,6.26,6.3,6.17,6.2
2013-09-09 00:00:00.005,6.24,6.27,6.14,6.26
2013-09-10 00:00:00.005,6.25,6.41,6.22,6.39
2013-09-11 00:00:00.005,6.49,6.53,6.35,6.38
2013-09-12 00:00:00.005,6.38,6.57,6.33,6.55
2013-09-13 00:00:00.005,6.54,6.71,6.49,6.5
2013-09-16 00:00:00.005,6.5,6.54,6.42,6.48
2013-09-17 00:00:00.005,6.48,6.68,6.44,6.53
2013-09-18 00:00:00.005,6.53,6.67,6.48,6.63
2013-09-23 00:00:00.005,6.65,6.75,6.51,6.66
2013-09-24 00:00:00.005,6.65,6.65,6.42,6.5
2013-09-25 00:00:00.005,6.49,6.55,6.33,6.34
2013-09-26 00:00:00.005,6.32,6.41,6.2,6.21
2013-09-27 00:00:00.005,6.21,6.29,6.18,6.27
2013-09-30 00:00:00.005,6.3,6.34,6.21,6.32
2013-10-08 00:00:00.005,6.3,6.42,6.24,6.38
2013-10-09 00:00:00.005,6.36,6.37,6.29,6.35
2013-10-10 00:00:00.005,6.38,6.55,6.33,6.52
2013-10-11 00:00:00.005,6.64,6.86,6.51,6.81
2013-10-14 00:00:00.005,6.75,7.24,6.73,7.02
2013-10-15 00:00:00.005,6.97,7.21,6.9,7.06
2013-10-16 00:00:00.005,7.02,7.05,6.69,6.74
2013-10-17 00:00:00.005,6.8,6.91,6.69,6.75
2013-10-18 00:00:00.005,6.77,6.87,6.68,6.87
2013-10-21 00:00:00.005,6.88,7.19,6.88,7.1
2013-10-22 00:00:00.005,7.11,7.3,7.05,7.08
2013-10-23 00:00:00.005,7.08,7.15,6.69,6.76
2013-10-24 00:00:00.005,6.76,7.02,6.66,6.8
2013-10-25 00:00:00.005,6.85,6.85,6.39,6.6
